,,,,18,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,19,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,20,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,21,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,22,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,23,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,24,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,25,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,26,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,27,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,28,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,29,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,30,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,31,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,32,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,33,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,34,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,35,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,36,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,37,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,38,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,39,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,40,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,41,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,42,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,43,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,44,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,45,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,46,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,47,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,48,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,49,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,50,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Open Schools,,,,,,,,,,,,,,,,,,,,,,
,,Max,,Region,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026,2026-2027,2027-2028,2028-2029,2029-2030,2030-2031,2031-2032
,,100,,1,3,5,8,12,20,30,47,70,95,100,100,100,100,100,100,100,100,100,100,100,100,100
,,30,,2,,,,1,1,2,4,8,13,21,30,30,30,30,30,30,30,30,30,30,30,30
,,30,,3,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30,30,30,30,30
,,30,,4,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30,30,30,30,30
,,30,,5,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30,30,30,30
,,30,,6,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30,30,30,30
,,30,,7,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30,30,30,30
,,30,,8,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30,30,30
,,30,,9,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30,30,30
,,30,,10,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30,30,30
,,30,,11,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30,30,30
,,30,,12,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30,30,30
,,30,,13,,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30,30
,,60,,14,,,,,,,,,1,1,2,4,8,13,21,34,55,60,60,60,60,60
,,30,,15,,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30,30
,,30,,16,,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30,30
,,30,,17,,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30,30
,,30,,18,,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30,30
,,40,,19,,,,,,,,,1,1,2,4,8,13,21,34,40,40,40,40,40,40
,,50,,20,,,,,,,,,1,1,2,4,8,13,21,34,50,50,50,50,50,50
,,60,,21,,,,,,,,,,1,1,2,4,8,13,21,34,55,60,60,60,60
,,50,,22,,,,,,,,,,1,1,2,4,8,13,21,34,50,50,50,50,50
,,50,,23,,,,,,,,,,1,1,2,4,8,13,21,34,50,50,50,50,50
,,50,,24,,,,,,,,,,1,1,2,4,8,13,21,34,50,50,50,50,50
,,30,,25,,,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30
,,30,,26,,,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30
,,30,,27,,,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30
,,60,,28,,,,,,,,,,1,1,2,4,8,13,21,34,55,60,60,60,60
,,30,,29,,,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30
,,80,,30,,,,,,,,,,1,1,2,4,8,13,21,34,55,80,80,80,80
,,30,,31,,,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30
,,80,,32,,,,,,,,,,1,1,2,4,8,13,21,34,55,80,80,80,80
,,30,,33,,,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30,30
,,60,,34,,,,,,,,,,,1,1,2,4,8,13,21,34,55,60,60,60
,,40,,35,,,,,,,,,,,1,1,2,4,8,13,21,34,40,40,40,40
,,60,,36,,,,,,,,,,,1,1,2,4,8,13,21,34,55,60,60,60
,,60,,37,,,,,,,,,,,1,1,2,4,8,13,21,34,55,60,60,60
,,30,,38,,,,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30
,,40,,39,,,,,,,,,,,1,1,2,4,8,13,21,34,40,40,40,40
,,100,,40,,,,,,,,,,,1,1,2,4,8,13,21,34,55,89,100,100
,,80,,41,,,,,,,,,,,1,1,2,4,8,13,21,34,55,80,80,80
,,30,,42,,,,,,,,,,,1,1,2,4,8,13,21,30,30,30,30,30
,,80,,43,,,,,,,,,,,1,1,2,4,8,13,21,34,55,80,80,80
,,100,,44,,,,,,,,,,,1,1,2,4,8,13,21,34,55,89,100,100
,,80,,45,,,,,,,,,,,1,1,2,4,8,13,21,34,55,80,80,80
,,60,,46,,,,,,,,,,,1,1,2,4,8,13,21,34,55,60,60,60
,,80,,47,,,,,,,,,,,1,1,2,4,8,13,21,34,55,80,80,80
,,100,,48,,,,,,,,,,,1,1,2,4,8,13,21,34,55,89,100,100
,,80,,49,,,,,,,,,,,1,1,2,4,8,13,21,34,55,80,80,80
,,80,,50,,,,,,,,,,,1,1,2,4,8,13,21,34,55,80,80,80
,,,,Total Open Schools,3,5,8,13,21,34,56,90,135,180,246,326,468,661,903,1176,1500,1850,2195,2467,2500,2500
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Clusters,,,,,,,,,,,,,,,,,,,,,,
,,Max,,Region,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026,2026-2027,2027-2028,2028-2029,2029-2030,2030-2031,2031-2032
,,100,,1,1,1,1,2,2,3,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,,30,,2,,,,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
,,30,,3,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3
,,30,,4,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3
,,30,,5,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3
,,30,,6,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3
,,30,,7,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3
,,30,,8,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3
,,30,,9,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3
,,30,,10,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3
,,30,,11,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3
,,30,,12,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3
,,30,,13,,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3,3
,,60,,14,,,,,,,,,1,1,1,1,1,2,3,4,6,6,6,6,6,6
,,30,,15,,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3,3
,,30,,16,,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3,3
,,30,,17,,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3,3
,,30,,18,,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3,3
,,40,,19,,,,,,,,,1,1,1,1,1,2,3,4,4,4,4,4,4,4
,,50,,20,,,,,,,,,1,1,1,1,1,2,3,4,5,5,5,5,5,5
,,60,,21,,,,,,,,,,1,1,1,1,1,2,3,4,6,6,6,6,6
,,50,,22,,,,,,,,,,1,1,1,1,1,2,3,4,5,5,5,5,5
,,50,,23,,,,,,,,,,1,1,1,1,1,2,3,4,5,5,5,5,5
,,50,,24,,,,,,,,,,1,1,1,1,1,2,3,4,5,5,5,5,5
,,30,,25,,,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3
,,30,,26,,,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3
,,30,,27,,,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3
,,60,,28,,,,,,,,,,1,1,1,1,1,2,3,4,6,6,6,6,6
,,30,,29,,,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3
,,80,,30,,,,,,,,,,1,1,1,1,1,2,3,4,6,8,8,8,8
,,30,,31,,,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3
,,80,,32,,,,,,,,,,1,1,1,1,1,2,3,4,6,8,8,8,8
,,30,,33,,,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3,3
,,60,,34,,,,,,,,,,,1,1,1,1,1,2,3,4,6,6,6,6
,,40,,35,,,,,,,,,,,1,1,1,1,1,2,3,4,4,4,4,4
,,60,,36,,,,,,,,,,,1,1,1,1,1,2,3,4,6,6,6,6
,,60,,37,,,,,,,,,,,1,1,1,1,1,2,3,4,6,6,6,6
,,30,,38,,,,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3
,,40,,39,,,,,,,,,,,1,1,1,1,1,2,3,4,4,4,4,4
,,100,,40,,,,,,,,,,,1,1,1,1,1,2,3,4,6,9,10,10
,,80,,41,,,,,,,,,,,1,1,1,1,1,2,3,4,6,8,8,8
,,30,,42,,,,,,,,,,,1,1,1,1,1,2,3,3,3,3,3,3
,,80,,43,,,,,,,,,,,1,1,1,1,1,2,3,4,6,8,8,8
,,100,,44,,,,,,,,,,,1,1,1,1,1,2,3,4,6,9,10,10
,,80,,45,,,,,,,,,,,1,1,1,1,1,2,3,4,6,8,8,8
,,60,,46,,,,,,,,,,,1,1,1,1,1,2,3,4,6,6,6,6
,,80,,47,,,,,,,,,,,1,1,1,1,1,2,3,4,6,8,8,8
,,100,,48,,,,,,,,,,,1,1,1,1,1,2,3,4,6,9,10,10
,,80,,49,,,,,,,,,,,1,1,1,1,1,2,3,4,6,8,8,8
,,80,,50,,,,,,,,,,,1,1,1,1,1,2,3,4,6,8,8,8
,,,,Total Clusters,1,1,1,3,3,6,11,18,30,44,63,68,76,89,110,143,170,196,226,247,250,250
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Year of Region-Model,,,,,,,,,,,,,,,,,,,,,,
,,,Cap,,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026,2026-2027,2027-2028,2028-2029,2029-2030,2030-2031,2031-2032
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,30,2,,,,1,2,3,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7
,,,30,3,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7,7,7,7,7
,,,30,4,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7,7,7,7,7
,,,30,5,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7,7,7,7
,,,30,6,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7,7,7,7
,,,30,7,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7,7,7,7
,,,30,8,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7,7,7
,,,30,9,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7,7,7
,,,30,10,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7,7,7
,,,30,11,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7,7,7
,,,30,12,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7,7,7
,,,30,13,,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7,7
,,,60,14,,,,,,,,,1,2,3,4,5,6,7,8,9,9,9,9,9,9
,,,30,15,,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7,7
,,,30,16,,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7,7
,,,30,17,,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7,7
,,,30,18,,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7,7
,,,40,19,,,,,,,,,1,2,3,4,5,6,7,8,8,8,8,8,8,8
,,,50,20,,,,,,,,,1,2,3,4,5,6,7,8,8,8,8,8,8,8
,,,60,21,,,,,,,,,,1,2,3,4,5,6,7,8,9,9,9,9,9
,,,50,22,,,,,,,,,,1,2,3,4,5,6,7,8,8,8,8,8,8
,,,50,23,,,,,,,,,,1,2,3,4,5,6,7,8,8,8,8,8,8
,,,50,24,,,,,,,,,,1,2,3,4,5,6,7,8,8,8,8,8,8
,,,30,25,,,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7
,,,30,26,,,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7
,,,30,27,,,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7
,,,60,28,,,,,,,,,,1,2,3,4,5,6,7,8,9,9,9,9,9
,,,30,29,,,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7
,,,80,30,,,,,,,,,,1,2,3,4,5,6,7,8,9,9,9,9,9
,,,30,31,,,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7
,,,80,32,,,,,,,,,,1,2,3,4,5,6,7,8,9,9,9,9,9
,,,30,33,,,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7,7
,,,60,34,,,,,,,,,,,1,2,3,4,5,6,7,8,9,9,9,9
,,,40,35,,,,,,,,,,,1,2,3,4,5,6,7,8,8,8,8,8
,,,60,36,,,,,,,,,,,1,2,3,4,5,6,7,8,9,9,9,9
,,,60,37,,,,,,,,,,,1,2,3,4,5,6,7,8,9,9,9,9
,,,30,38,,,,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7
,,,40,39,,,,,,,,,,,1,2,3,4,5,6,7,8,8,8,8,8
,,,100,40,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,10,10
,,,80,41,,,,,,,,,,,1,2,3,4,5,6,7,8,9,9,9,9
,,,30,42,,,,,,,,,,,1,2,3,4,5,6,7,7,7,7,7,7
,,,80,43,,,,,,,,,,,1,2,3,4,5,6,7,8,9,9,9,9
,,,100,44,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,10,10
,,,80,45,,,,,,,,,,,1,2,3,4,5,6,7,8,9,9,9,9
,,,60,46,,,,,,,,,,,1,2,3,4,5,6,7,8,9,9,9,9
,,,80,47,,,,,,,,,,,1,2,3,4,5,6,7,8,9,9,9,9
,,,100,48,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,10,10
,,,80,49,,,,,,,,,,,1,2,3,4,5,6,7,8,9,9,9,9
,,,80,50,,,,,,,,,,,1,2,3,4,5,6,7,8,9,9,9,9
